flight_id,departure_time,arrival_time,airline,origin_airport,destination_airport,weather_condition,airport_congestion,delay_time,temperature,wind_speed,hour,passengers
50,2024-12-23 14:01:40,2024-12-23 17:01:40,BlueHorizon Airlines,SYD,HKG,Hazy,Medium,57,33,6,14,235
51,2024-10-16 01:23:40,2024-10-16 04:23:40,JetStream Airlines,SFO,LHR,Snowy,Severe,80,38,18,1,271
52,2025-06-23 19:05:40,2025-06-24 00:05:40,EagleFly Express,ORD,CDG,Snowy,High,13,-3,30,19,337
53,2025-08-01 09:34:40,2025-08-01 10:34:40,EagleFly Express,AMS,JFK,Icy,Medium,70,-4,11,9,320
54,2025-01-29 23:42:40,2025-01-30 01:42:40,CloudNine Aviation,CDG,SYD,Rainy,High,2,-7,50,23,272
55,2025-04-05 12:44:40,2025-04-05 14:44:40,CloudNine Aviation,HKG,SYD,Windy,Low,11,39,9,12,321
56,2025-08-02 12:14:40,2025-08-02 15:14:40,EagleFly Express,LAX,HND,Windy,High,99,5,19,12,293
57,2025-01-02 08:06:40,2025-01-02 09:06:40,JetStream Airlines,HND,CPT,Cloudy,Medium,36,-4,8,8,330
58,2025-01-04 19:38:40,2025-01-04 20:38:40,CloudNine Aviation,FRA,NRT,Hot,Medium,48,23,10,19,345
59,2025-03-29 06:08:40,2025-03-29 07:08:40,JetStream Airlines,AMS,SYD,Stormy,Medium,8,26,25,6,304
60,2025-02-25 18:04:40,2025-02-25 22:04:40,SkyHigh Airways,CPT,LAX,Cold,Severe,77,27,42,18,335
61,2024-10-01 22:15:40,2024-10-02 02:15:40,JetStream Airlines,FRA,SFO,Hot,High,77,-9,43,22,352
62,2025-01-14 02:36:40,2025-01-14 03:36:40,JetStream Airlines,GRU,FRA,Snowy,Severe,57,30,22,2,309
63,2025-06-20 05:16:40,2025-06-20 06:16:40,CloudNine Aviation,HKG,SCL,Stormy,Medium,89,20,46,5,289
64,2024-10-14 22:23:40,2024-10-15 01:23:40,Sunset Skies Air,SCL,HKG,Stormy,High,58,39,46,22,365
65,2025-04-09 07:54:40,2025-04-09 10:54:40,BlueHorizon Airlines,HKG,GRU,Stormy,Low,39,0,29,7,284
66,2025-02-10 19:46:40,2025-02-10 20:46:40,EagleFly Express,GRU,CDG,Stormy,Severe,17,19,13,19,254
67,2025-08-28 06:47:40,2025-08-28 08:47:40,CloudNine Aviation,LAX,DXB,Windy,Medium,49,40,7,6,371
68,2025-09-02 04:26:40,2025-09-02 06:26:40,CloudNine Aviation,SCL,HKG,Sunny,Low,34,5,33,4,350
69,2025-03-25 21:42:40,2025-03-25 23:42:40,SkyHigh Airways,SCL,CPT,Cold,Low,95,33,36,21,341
70,2025-08-22 06:19:40,2025-08-22 10:19:40,BlueHorizon Airlines,LAX,JFK,Rainy,Low,68,22,43,6,383
71,2025-09-03 02:46:40,2025-09-03 05:46:40,JetStream Airlines,NRT,SYD,Hot,High,56,25,32,2,228
72,2025-05-16 11:39:40,2025-05-16 12:39:40,BlueHorizon Airlines,FRA,SFO,Sunny,Low,73,31,37,11,389
73,2024-11-19 22:56:40,2024-11-20 02:56:40,BlueHorizon Airlines,SFO,CDG,Cloudy,Low,107,-3,35,22,279
74,2025-09-17 04:05:40,2025-09-17 06:05:40,JetStream Airlines,DXB,GRU,Foggy,Medium,99,-8,20,4,268
75,2025-01-17 13:19:40,2025-01-17 18:19:40,BlueHorizon Airlines,ORD,SFO,Sunny,High,77,40,14,13,240
76,2024-11-06 02:34:40,2024-11-06 07:34:40,Sunset Skies Air,LAX,JFK,Cloudy,Medium,100,39,38,2,251
77,2025-02-08 17:50:40,2025-02-08 21:50:40,CloudNine Aviation,AMS,SYD,Hazy,Low,90,20,21,17,254
78,2025-07-03 05:04:40,2025-07-03 10:04:40,JetStream Airlines,SFO,CPT,Snowy,Medium,6,-1,17,5,358
79,2024-11-27 18:48:40,2024-11-27 23:48:40,CloudNine Aviation,SYD,CDG,Foggy,Low,74,13,38,18,389
80,2025-06-02 22:15:40,2025-06-03 01:15:40,SkyHigh Airways,JFK,JFK,Foggy,Medium,120,26,47,22,284
81,2024-10-13 11:05:40,2024-10-13 13:05:40,Sunset Skies Air,SYD,SFO,Icy,Severe,93,-8,10,11,343
82,2025-03-05 15:06:40,2025-03-05 16:06:40,CloudNine Aviation,LAX,ORD,Rainy,Medium,52,33,38,15,355
83,2025-04-01 14:34:40,2025-04-01 19:34:40,CloudNine Aviation,LHR,CPT,Sunny,High,96,30,39,14,170
84,2025-07-01 14:54:40,2025-07-01 17:54:40,Sunset Skies Air,HND,SFO,Windy,Low,64,32,49,14,269
85,2024-11-05 07:03:40,2024-11-05 08:03:40,Sunset Skies Air,DXB,ORD,Hot,Low,13,5,27,7,218
86,2025-01-05 09:23:40,2025-01-05 13:23:40,SkyHigh Airways,AMS,NRT,Sunny,Medium,20,-1,45,9,192
87,2024-12-05 08:26:40,2024-12-05 10:26:40,BlueHorizon Airlines,JFK,LAX,Hazy,Medium,103,11,26,8,290
88,2025-07-04 18:57:40,2025-07-04 23:57:40,SkyHigh Airways,HKG,LAX,Rainy,High,15,15,50,18,306
89,2025-09-18 04:22:40,2025-09-18 06:22:40,SkyHigh Airways,SFO,GRU,Rainy,Low,99,1,28,4,357
90,2025-07-31 06:26:40,2025-07-31 09:26:40,EagleFly Express,GRU,LHR,Windy,High,20,-10,20,6,311
91,2025-09-15 10:28:40,2025-09-15 15:28:40,JetStream Airlines,NRT,CPT,Cloudy,Low,56,29,34,10,178
92,2024-12-14 06:42:40,2024-12-14 10:42:40,CloudNine Aviation,LAX,DXB,Hot,High,11,-3,1,6,239
93,2025-04-21 11:44:40,2025-04-21 12:44:40,CloudNine Aviation,SCL,ORD,Stormy,Medium,34,40,37,11,173
94,2025-01-19 18:09:40,2025-01-19 22:09:40,SkyHigh Airways,AMS,CDG,Hot,Severe,34,31,39,18,343
95,2025-07-03 21:18:40,2025-07-03 22:18:40,JetStream Airlines,SFO,ORD,Cold,Severe,120,12,18,21,371
96,2025-04-01 22:33:40,2025-04-02 01:33:40,EagleFly Express,JFK,CDG,Hazy,Low,103,8,26,22,271
97,2025-02-20 09:48:40,2025-02-20 14:48:40,EagleFly Express,SFO,SFO,Rainy,Low,69,21,0,9,244
98,2024-12-16 15:17:40,2024-12-16 16:17:40,EagleFly Express,HND,GRU,Cold,Severe,57,-7,47,15,226
99,2025-09-18 05:32:40,2025-09-18 09:32:40,JetStream Airlines,HKG,CPT,Cold,Severe,100,23,30,5,218
100,2024-10-05 02:52:40,2024-10-05 03:52:40,JetStream Airlines,JFK,HKG,Foggy,Severe,86,-5,39,2,371
101,2024-09-19 19:19:40,2024-09-19 22:19:40,Sunset Skies Air,CPT,GRU,Cloudy,Severe,28,30,16,19,389
102,2025-09-19 02:33:40,2025-09-19 05:33:40,SkyHigh Airways,GRU,ORD,Hot,Severe,109,22,37,2,357
103,2025-06-19 05:40:40,2025-06-19 07:40:40,Sunset Skies Air,HKG,HKG,Windy,Low,57,29,50,5,180
104,2024-11-18 23:06:40,2024-11-19 01:06:40,JetStream Airlines,AMS,DXB,Hazy,Medium,9,10,13,23,242
105,2025-08-04 06:23:40,2025-08-04 11:23:40,Sunset Skies Air,DXB,DXB,Snowy,High,17,-9,11,6,279
106,2024-12-28 12:18:40,2024-12-28 17:18:40,JetStream Airlines,FRA,CPT,Rainy,Severe,12,3,34,12,194
107,2025-02-07 22:48:40,2025-02-07 23:48:40,EagleFly Express,SCL,SCL,Cloudy,Medium,106,13,21,22,345
108,2025-03-22 05:21:40,2025-03-22 07:21:40,BlueHorizon Airlines,AMS,LAX,Hazy,Low,19,-5,43,5,207
109,2025-08-16 10:07:40,2025-08-16 11:07:40,JetStream Airlines,JFK,AMS,Rainy,Low,44,8,21,10,385
110,2025-05-26 16:56:40,2025-05-26 17:56:40,EagleFly Express,SCL,SYD,Cold,Severe,51,26,25,16,377
111,2025-09-06 12:48:40,2025-09-06 17:48:40,Sunset Skies Air,LAX,AMS,Hot,Medium,86,36,33,12,315
112,2025-02-19 22:36:40,2025-02-20 01:36:40,BlueHorizon Airlines,FRA,AMS,Cloudy,High,76,-1,5,22,314
113,2025-08-08 17:06:40,2025-08-08 20:06:40,SkyHigh Airways,NRT,SYD,Cold,High,9,13,0,17,237
114,2025-07-05 10:43:40,2025-07-05 11:43:40,EagleFly Express,CDG,JFK,Cloudy,High,13,32,21,10,290
115,2025-08-20 08:21:40,2025-08-20 11:21:40,JetStream Airlines,HKG,SYD,Cloudy,High,101,11,16,8,236
116,2025-07-11 01:49:40,2025-07-11 05:49:40,JetStream Airlines,LAX,DXB,Windy,High,5,-5,29,1,198
117,2025-09-06 13:12:40,2025-09-06 16:12:40,SkyHigh Airways,FRA,SFO,Icy,Medium,52,27,39,13,196
118,2025-09-06 06:31:40,2025-09-06 07:31:40,BlueHorizon Airlines,ORD,FRA,Cold,Medium,63,2,32,6,239
119,2024-12-07 01:26:40,2024-12-07 03:26:40,CloudNine Aviation,LHR,SFO,Foggy,Severe,83,13,26,1,367
120,2025-03-02 16:48:40,2025-03-02 21:48:40,EagleFly Express,LHR,SYD,Icy,High,66,-1,30,16,190
121,2024-10-10 18:25:40,2024-10-10 21:25:40,BlueHorizon Airlines,CPT,LAX,Hot,Low,19,5,31,18,384
122,2025-01-16 01:59:40,2025-01-16 02:59:40,SkyHigh Airways,LAX,LAX,Cloudy,High,47,28,7,1,188
123,2025-03-17 00:51:40,2025-03-17 03:51:40,Sunset Skies Air,LAX,LAX,Snowy,Medium,47,35,7,0,274
124,2025-01-11 03:16:40,2025-01-11 05:16:40,SkyHigh Airways,CPT,HND,Foggy,High,80,-3,50,3,344
125,2024-11-23 08:46:40,2024-11-23 13:46:40,CloudNine Aviation,SYD,HND,Hazy,Medium,11,24,48,8,310
126,2024-10-27 08:49:40,2024-10-27 12:49:40,Sunset Skies Air,LAX,HKG,Cloudy,High,41,7,26,8,372
127,2024-12-22 09:25:40,2024-12-22 10:25:40,EagleFly Express,SCL,GRU,Sunny,Medium,72,-2,1,9,177
128,2024-09-22 20:05:40,2024-09-22 23:05:40,SkyHigh Airways,LAX,SFO,Stormy,Severe,31,-10,49,20,249
129,2025-08-14 12:45:40,2025-08-14 14:45:40,Sunset Skies Air,HKG,SYD,Sunny,Severe,68,-8,13,12,324
130,2025-05-05 05:49:40,2025-05-05 06:49:40,SkyHigh Airways,AMS,SCL,Cold,Medium,72,7,43,5,308
131,2025-01-22 21:37:40,2025-01-22 23:37:40,BlueHorizon Airlines,SYD,SFO,Hot,Severe,100,13,6,21,255
132,2025-05-16 05:43:40,2025-05-16 09:43:40,BlueHorizon Airlines,SCL,SYD,Icy,Medium,25,3,24,5,256
133,2025-08-10 07:07:40,2025-08-10 12:07:40,SkyHigh Airways,JFK,FRA,Snowy,Low,42,-2,19,7,339
134,2025-07-29 10:22:40,2025-07-29 14:22:40,CloudNine Aviation,AMS,DXB,Foggy,Low,88,18,42,10,233
135,2024-11-03 04:36:40,2024-11-03 06:36:40,JetStream Airlines,SYD,LAX,Hot,Severe,85,38,17,4,306
136,2025-05-08 15:35:40,2025-05-08 20:35:40,SkyHigh Airways,CPT,ORD,Icy,Medium,31,-8,23,15,209
137,2025-01-26 07:17:40,2025-01-26 11:17:40,JetStream Airlines,DXB,LHR,Cloudy,Medium,114,-5,31,7,280
138,2025-08-21 06:00:40,2025-08-21 07:00:40,JetStream Airlines,ORD,LAX,Stormy,High,85,-6,28,6,243
139,2025-07-09 03:50:40,2025-07-09 04:50:40,Sunset Skies Air,SFO,GRU,Hot,High,93,18,5,3,256
140,2025-08-24 02:17:40,2025-08-24 04:17:40,EagleFly Express,CDG,GRU,Hot,High,22,27,46,2,177
141,2025-03-14 10:57:40,2025-03-14 14:57:40,SkyHigh Airways,HKG,FRA,Windy,Severe,8,22,41,10,242
142,2024-10-22 17:39:40,2024-10-22 18:39:40,JetStream Airlines,ORD,SCL,Stormy,Low,55,22,10,17,381
143,2025-04-29 08:41:40,2025-04-29 11:41:40,CloudNine Aviation,FRA,AMS,Foggy,Low,108,19,5,8,259
144,2025-06-01 06:41:40,2025-06-01 10:41:40,Sunset Skies Air,LHR,AMS,Cold,Medium,59,26,35,6,297
145,2025-05-09 03:44:40,2025-05-09 06:44:40,CloudNine Aviation,SFO,HND,Cold,Severe,81,36,10,3,233
146,2024-09-23 14:10:40,2024-09-23 15:10:40,Sunset Skies Air,CDG,SYD,Stormy,High,32,34,6,14,274
147,2025-04-15 20:46:40,2025-04-15 23:46:40,SkyHigh Airways,LHR,DXB,Rainy,Low,76,28,10,20,216
148,2024-09-21 00:54:40,2024-09-21 02:54:40,JetStream Airlines,FRA,ORD,Sunny,Medium,55,11,37,0,345
149,2025-04-15 02:50:40,2025-04-15 07:50:40,EagleFly Express,FRA,FRA,Hot,Severe,92,38,36,2,286
150,2025-05-04 05:24:40,2025-05-04 10:24:40,BlueHorizon Airlines,HND,CDG,Cloudy,High,85,37,29,5,272
151,2025-01-12 16:15:40,2025-01-12 21:15:40,JetStream Airlines,LAX,HKG,Cold,High,61,9,43,16,302
152,2025-07-21 08:42:40,2025-07-21 13:42:40,BlueHorizon Airlines,JFK,CPT,Hot,High,114,-5,43,8,374
153,2025-01-24 02:54:40,2025-01-24 05:54:40,EagleFly Express,JFK,GRU,Snowy,Medium,98,17,7,2,263
154,2025-04-10 19:26:40,2025-04-11 00:26:40,CloudNine Aviation,ORD,FRA,Hot,Medium,116,19,5,19,252
155,2024-11-25 11:56:40,2024-11-25 15:56:40,SkyHigh Airways,AMS,GRU,Hazy,Medium,5,20,28,11,388
156,2025-06-01 05:54:40,2025-06-01 10:54:40,JetStream Airlines,JFK,HND,Stormy,High,18,-8,43,5,189
157,2025-03-30 13:18:40,2025-03-30 14:18:40,Sunset Skies Air,DXB,HND,Windy,High,95,39,3,13,335
158,2024-10-08 14:05:40,2024-10-08 16:05:40,EagleFly Express,LAX,AMS,Cloudy,Severe,108,-5,35,14,326
159,2024-12-24 11:57:40,2024-12-24 13:57:40,EagleFly Express,FRA,NRT,Rainy,Severe,71,33,33,11,222
160,2025-08-08 18:34:40,2025-08-08 23:34:40,EagleFly Express,NRT,CPT,Snowy,Low,15,38,26,18,358
161,2025-04-28 22:04:40,2025-04-28 23:04:40,EagleFly Express,AMS,SYD,Stormy,Low,76,28,17,22,306
162,2025-03-08 02:20:40,2025-03-08 03:20:40,BlueHorizon Airlines,AMS,HND,Hot,Medium,78,7,36,2,203
163,2025-08-05 15:58:40,2025-08-05 17:58:40,Sunset Skies Air,LHR,LHR,Sunny,Medium,17,11,39,15,220
164,2025-02-18 14:37:40,2025-02-18 18:37:40,EagleFly Express,ORD,AMS,Hot,High,70,-6,37,14,266
165,2024-11-04 22:43:40,2024-11-05 02:43:40,CloudNine Aviation,SCL,JFK,Cold,Severe,10,11,22,22,360
166,2025-03-05 10:24:40,2025-03-05 14:24:40,SkyHigh Airways,NRT,HND,Icy,Severe,39,36,3,10,322
167,2024-12-13 00:13:40,2024-12-13 02:13:40,Sunset Skies Air,CPT,FRA,Rainy,High,39,2,20,0,362
168,2025-03-06 17:39:40,2025-03-06 18:39:40,JetStream Airlines,CDG,SFO,Sunny,Medium,86,32,31,17,299
169,2025-01-17 04:09:40,2025-01-17 09:09:40,BlueHorizon Airlines,HKG,JFK,Hazy,Severe,38,16,12,4,314
170,2025-01-08 00:01:40,2025-01-08 04:01:40,Sunset Skies Air,ORD,CPT,Windy,Low,3,39,33,0,376
171,2025-04-23 16:41:40,2025-04-23 21:41:40,Sunset Skies Air,NRT,AMS,Snowy,Medium,104,11,45,16,367
172,2025-08-07 15:10:40,2025-08-07 18:10:40,EagleFly Express,SCL,AMS,Rainy,Severe,120,18,15,15,356
173,2025-05-01 01:30:40,2025-05-01 05:30:40,Sunset Skies Air,FRA,JFK,Hot,Medium,91,-10,39,1,312
174,2024-12-08 20:42:40,2024-12-08 23:42:40,BlueHorizon Airlines,GRU,AMS,Foggy,High,26,11,37,20,389
175,2025-05-21 03:43:40,2025-05-21 08:43:40,CloudNine Aviation,GRU,HND,Cold,High,103,36,16,3,284
176,2025-05-31 10:40:40,2025-05-31 15:40:40,SkyHigh Airways,CDG,CDG,Icy,Medium,63,33,12,10,192
177,2025-01-04 15:59:40,2025-01-04 16:59:40,CloudNine Aviation,HKG,AMS,Hazy,Medium,25,21,46,15,209
178,2025-01-18 22:45:40,2025-01-18 23:45:40,EagleFly Express,LHR,LHR,Cold,High,100,5,9,22,388
179,2024-11-19 14:09:40,2024-11-19 19:09:40,SkyHigh Airways,HND,CDG,Hazy,Medium,26,22,50,14,219
180,2024-10-02 04:20:40,2024-10-02 07:20:40,SkyHigh Airways,SCL,JFK,Stormy,Severe,63,-8,16,4,246
181,2024-10-13 00:03:40,2024-10-13 05:03:40,CloudNine Aviation,LAX,SCL,Hot,Medium,118,18,37,0,242
182,2025-08-23 05:20:40,2025-08-23 08:20:40,SkyHigh Airways,JFK,ORD,Windy,High,31,10,1,5,197
183,2025-03-04 19:48:40,2025-03-04 23:48:40,SkyHigh Airways,ORD,HKG,Snowy,High,44,23,14,19,187
184,2025-01-01 19:20:40,2025-01-01 21:20:40,Sunset Skies Air,AMS,FRA,Rainy,Medium,108,28,1,19,316
185,2025-07-08 15:19:40,2025-07-08 19:19:40,Sunset Skies Air,LAX,CPT,Rainy,Medium,52,4,46,15,227
186,2024-12-01 12:00:40,2024-12-01 16:00:40,CloudNine Aviation,AMS,JFK,Hot,Medium,54,20,11,12,216
187,2025-09-09 11:10:40,2025-09-09 16:10:40,Sunset Skies Air,SCL,CPT,Rainy,Low,115,21,12,11,351
188,2025-05-12 13:21:40,2025-05-12 15:21:40,BlueHorizon Airlines,LHR,LAX,Cold,Medium,23,40,41,13,200
189,2025-03-31 21:48:40,2025-04-01 02:48:40,JetStream Airlines,SYD,JFK,Rainy,Low,117,16,25,21,297
190,2024-10-26 09:37:40,2024-10-26 12:37:40,EagleFly Express,SYD,DXB,Cloudy,Low,76,37,17,9,355
191,2025-05-16 03:15:40,2025-05-16 08:15:40,SkyHigh Airways,HND,LHR,Hot,Medium,111,7,44,3,275
192,2025-04-28 16:25:40,2025-04-28 17:25:40,BlueHorizon Airlines,LAX,SCL,Hazy,Severe,42,-9,1,16,252
193,2025-02-04 06:07:40,2025-02-04 07:07:40,SkyHigh Airways,DXB,CPT,Stormy,Medium,109,38,42,6,229
194,2025-04-28 12:30:40,2025-04-28 17:30:40,Sunset Skies Air,CPT,HND,Icy,Medium,97,24,40,12,180
195,2025-04-09 02:05:40,2025-04-09 05:05:40,EagleFly Express,FRA,SFO,Windy,High,63,14,29,2,333
196,2025-01-02 10:09:40,2025-01-02 14:09:40,JetStream Airlines,HND,NRT,Windy,High,5,-4,43,10,299
197,2024-10-25 00:44:40,2024-10-25 05:44:40,BlueHorizon Airlines,JFK,SFO,Foggy,Low,64,17,0,0,354
198,2025-06-06 10:48:40,2025-06-06 14:48:40,JetStream Airlines,SYD,CDG,Rainy,Medium,89,-2,23,10,205
199,2025-07-14 13:31:40,2025-07-14 17:31:40,Sunset Skies Air,SCL,AMS,Hazy,High,45,36,38,13,215
200,2025-06-19 05:14:40,2025-06-19 09:14:40,BlueHorizon Airlines,LAX,ORD,Stormy,Low,101,31,45,5,176
201,2025-04-11 19:47:40,2025-04-11 22:47:40,Sunset Skies Air,GRU,CPT,Hazy,Medium,100,35,47,19,208
202,2024-09-22 15:31:40,2024-09-22 19:31:40,CloudNine Aviation,HND,SYD,Sunny,High,87,30,44,15,282
203,2025-02-23 19:38:40,2025-02-23 23:38:40,BlueHorizon Airlines,JFK,NRT,Hot,High,64,-10,6,19,181
204,2024-10-25 05:43:40,2024-10-25 08:43:40,Sunset Skies Air,SCL,ORD,Hazy,Medium,54,14,25,5,284
205,2025-06-19 08:30:40,2025-06-19 09:30:40,CloudNine Aviation,SCL,LAX,Hazy,Low,88,-10,4,8,303
206,2025-04-15 14:15:40,2025-04-15 17:15:40,SkyHigh Airways,JFK,HKG,Windy,High,105,37,28,14,287
207,2024-10-31 20:01:40,2024-10-31 22:01:40,SkyHigh Airways,LHR,SFO,Windy,High,82,21,24,20,361
208,2024-10-04 12:45:40,2024-10-04 15:45:40,JetStream Airlines,CDG,JFK,Snowy,Severe,85,-6,10,12,173
209,2025-05-25 20:17:40,2025-05-25 23:17:40,JetStream Airlines,LHR,HND,Hot,Medium,50,27,22,20,338
210,2025-04-08 16:41:40,2025-04-08 21:41:40,SkyHigh Airways,AMS,CDG,Hazy,High,107,-3,18,16,254
211,2025-02-23 23:33:40,2025-02-24 03:33:40,BlueHorizon Airlines,SFO,ORD,Stormy,Medium,33,16,23,23,283
212,2025-06-26 23:31:40,2025-06-27 02:31:40,Sunset Skies Air,HKG,GRU,Rainy,Low,33,-6,30,23,358
213,2025-03-12 05:54:40,2025-03-12 08:54:40,Sunset Skies Air,NRT,SCL,Cloudy,Severe,120,-7,3,5,174
214,2025-07-20 19:15:40,2025-07-20 22:15:40,EagleFly Express,LAX,HKG,Snowy,Medium,106,36,3,19,316
215,2025-08-31 16:26:40,2025-08-31 17:26:40,CloudNine Aviation,AMS,CDG,Cold,Medium,83,26,41,16,291
216,2025-08-07 06:41:40,2025-08-07 09:41:40,BlueHorizon Airlines,ORD,GRU,Windy,High,60,-8,17,6,337
217,2024-10-08 15:22:40,2024-10-08 16:22:40,CloudNine Aviation,HKG,SFO,Windy,High,38,5,26,15,299
